"Tarih","Şimdi","Açılış","Yüksek","Düşük","Fark %"
"31.12.2021","13,3161","13,1514","13,6993","12,9045","1,31%"
"30.12.2021","13,1440","12,6357","13,5264","12,3795","4,02%"
"29.12.2021","12,6359","11,8049","12,7776","11,7685","7,10%"
"28.12.2021","11,7978","11,6822","12,0285","11,5030","1,01%"
"27.12.2021","11,6801","10,7513","11,8656","10,6654","9,69%"
"24.12.2021","10,6480","11,3912","12,3187","10,3632","-6,63%"
"23.12.2021","11,4040","11,9946","12,3665","10,1565","-4,83%"
"22.12.2021","11,9825","12,4331","12,8375","11,9650","-3,62%"
"21.12.2021","12,4331","13,3820","14,1888","11,5935","-7,94%"
"20.12.2021","13,5050","16,4848","18,3674","13,5055","-17,72%"
"17.12.2021","16,4135","15,6707","17,1630","15,6244","4,76%"
"16.12.2021","15,6674","14,7984","15,7790","14,7820","5,95%"
"15.12.2021","14,7875","14,3906","14,8770","14,3588","2,79%"
"14.12.2021","14,3856","13,8139","14,4606","13,7861","4,28%"
"13.12.2021","13,7953","13,8725","14,6605","13,6450","-0,59%"
"10.12.2021","13,8774","13,7853","13,9743","13,7202","0,69%"
"09.12.2021","13,7817","13,6765","13,8602","13,6103","0,80%"
"08.12.2021","13,6720","13,4935","13,8445","13,4671","1,33%"
"07.12.2021","13,4925","13,8000","13,8554","13,4176","-2,13%"
"06.12.2021","13,7866","13,6941","13,9335","13,6235","0,63%"
"03.12.2021","13,7000","13,6834","13,9745","13,3215","0,63%"
"02.12.2021","13,6145","13,2656","13,8521","13,2294","2,65%"
"01.12.2021","13,2635","13,4856","13,8983","12,3977","-1,56%"
"30.11.2021","13,4732","12,8264","13,7466","12,7063","5,24%"
"29.11.2021","12,8025","12,4014","12,9380","12,3266","3,06%"
"26.11.2021","12,4229","11,9886","12,7052","11,8965","4,37%"
"25.11.2021","11,9029","12,0876","12,2650","11,8044","-1,51%"
"24.11.2021","12,0855","12,8215","13,1945","11,5410","-5,72%"
"23.11.2021","12,8192","11,3827","13,5276","11,3306","12,66%"
"22.11.2021","11,3790","11,2305","11,4909","10,9373","1,32%"
"19.11.2021","11,2310","11,0666","11,3482","10,8070","2,16%"
"18.11.2021","10,9935","10,6282","11,3225","10,4340","3,61%"
"17.11.2021","10,6103","10,3441","10,6950","10,3002","2,62%"
"16.11.2021","10,3395","10,0606","10,4223","10,0428","2,88%"
"15.11.2021","10,0505","9,9885","10,0862","9,9364","0,76%"
"12.11.2021","9,9751","9,9045","10,0280","9,8652","0,86%"
"11.11.2021","9,8899","9,8469","9,9804","9,8259","0,53%"
"10.11.2021","9,8379","9,7331","9,8835","9,7164","1,16%"
"09.11.2021","9,7252","9,6853","9,7439","9,6512","0,48%"
"08.11.2021","9,6791","9,6955","9,7526","9,6510","0,05%"
"05.11.2021","9,6741","9,6895","9,7543","9,6613","-0,18%"
"04.11.2021","9,6917","9,6447","9,7748","9,6236","0,65%"
"03.11.2021","9,6290","9,6034","9,7757","9,5774","0,36%"
"02.11.2021","9,5944","9,5393","9,6171","9,4570","0,65%"
"01.11.2021","9,5325","9,6070","9,6204","9,4792","-0,73%"
"29.10.2021","9,6030","9,5435","9,6367","9,5002","0,81%"
"28.10.2021","9,5262","9,4960","9,6377","9,4653","0,50%"
"27.10.2021","9,4789","9,5438","9,5579","9,4485","-0,57%"
"26.10.2021","9,5335","9,5884","9,6318","9,3990","-0,50%"
"25.10.2021","9,5811","9,6049","9,8595","9,5296","0,06%"
